Volgorde;group_straatadvertenties/Foto_advertentie;Link Sciensano Server;group_straatadvertenties/Foto_advertentie_URL;Record_your_current_location;lat;lon;group_straatadvertenties/_Record_your_current_location_latitude;group_straatadvertenties/_Record_your_current_location_longitude;group_straatadvertenties/_Record_your_current_location_altitude;group_straatadvertenties/_Record_your_current_location_precision;_index;_parent_table_name;_parent_index;_submission__id;_submission__uuid;_submission__submission_time;_submission__validation_status;_submission__notes;_submission__status;_submission__submitted_by;_submission__tags;Type advertentie;public transport (Y/N);Promo char;Desc promo char;Premium offers;Desc premium offer;Nr food;Naam voedingsmiddel;Merk voedingsmiddel;Category (WHO);UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;Opmerkingen
1627;1659427367710.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427367710.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427367710.jpg;51.16118 4.2086133 65.1 2.24;5.116.118;42.086.133;5.116.118;42.086.133;65.1;2.24;1087;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Gouden Carolus;A;5;A;;
1628;1659427380200.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427380200.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427380200.jpg;51.16118 4.2086133 65.1 1.64;5.116.118;42.086.133;5.116.118;42.086.133;65.1;1.64;1088;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Westmalle ;A;5;A;;
1629;1659427393500.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427393500.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427393500.jpg;51.16118 4.2086133 69.5 1.566;5.116.118;42.086.133;5.116.118;42.086.133;69.5;1.566;1089;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;9;N;;;;;;;Gouden Carolus;A;5;A;;
1630;1659427409177.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427409177.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427409177.jpg;51.16118 4.2086133 69.5 2.066;5.116.118;42.086.133;5.116.118;42.086.133;69.5;2.066;1090;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;4;N;;;;;;;De Vylder broodautomaat;11;3;4;A;
1631;1659427457537.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427457537.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427457537.jpg;51.1608907 4.2078607 68.0 1.76;511.608.907;42.078.607;511.608.907;42.078.607;68;1.76;1091;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;6;N;;;;;;Friet;;16;4;4;E;
1632;1659427670220.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427670220.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427670220.jpg;51.1601212 4.206425 65.3 2.2;511.601.212;4.206.425;511.601.212;4.206.425;65.3;2.2;1092;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;4;N;;;;;1;;Broodautomaat;11;3;4;A;
1633;1659427670220.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427670220.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427670220.jpg;51.1601212 4.206425 65.3 2.2;511.601.212;4.206.425;511.601.212;4.206.425;65.3;2.2;1092;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;1;N;;;;;2;Water  ;Drankenautomaat;4e;1;1;F;
1634;1659427670220.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427670220.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427670220.jpg;51.1601212 4.206425 65.3 2.2;511.601.212;4.206.425;511.601.212;4.206.425;65.3;2.2;1092;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;1;N;;;;;3;Frisdrank;Drankenautomaat;4d;4;1;E;
1635;1659427682208.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659427682208.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fbd0606f9-77d9-4046-b70b-645f39da6676%2F1659427682208.jpg;51.1601167 4.206425 65.19999999999999 2.68;511.601.167;4.206.425;511.601.167;4.206.425;6.519.999.999.999.990;2.68;1093;Voedingsadvertenties;52;173416772;bd0606f9-77d9-4046-b70b-645f39da6676;2022-08-02T12:19:43;;;submitted_via_web;vincentsmets;;4;N;;;;;;;Broodautomaat;11;3;4;A;
1636;1659434516300.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659434516300.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659434516300.jpg;51.0289173 4.4854801 52.60000228881836 2.54;510.289.173;44.854.801;510.289.173;44.854.801;5.260.000.228.881.830;2.54;1094;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;4;N;;;;;;Sinaasappelsap;Carrefour express;4a;1;3;C;
1637;1659434531905.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659434531905.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659434531905.jpg;51.0289301 4.485445 55.4 2.366;510.289.301;4.485.445;510.289.301;4.485.445;55.4;2.366;1095;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;1;Kabouter;;;1;;La Chouffe;A;5;A;;
1638;1659434531905.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659434531905.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659434531905.jpg;51.0289301 4.485445 55.4 2.366;510.289.301;4.485.445;510.289.301;4.485.445;55.4;2.366;1095;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;2;Tripel d´Anvers;De Koninck;A;5;A;;
1639;1659434531905.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659434531905.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659434531905.jpg;51.0289301 4.485445 55.4 2.366;510.289.301;4.485.445;510.289.301;4.485.445;55.4;2.366;1095;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;3;;Duvel ;A;5;A;;
1640;1659434531905.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659434531905.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659434531905.jpg;51.0289301 4.485445 55.4 2.366;510.289.301;4.485.445;510.289.301;4.485.445;55.4;2.366;1095;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;4;;Guinness;A;5;A;;
1641;1659435237314.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659435237314.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659435237314.jpg;51.027026 4.4895511 52.699999999999996 1.8;51.027.026;44.895.511;51.027.026;44.895.511;52.699.999.999.999.900;1.8;1096;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;Y;11;Jouw snack, jouw feestje;;;;;Fanta;4d;4;1;E;
1642;1659436157779.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436157779.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436157779.jpg;51.0289409 4.4838712 56.3 1.633;510.289.409;44.838.712;510.289.409;44.838.712;56.3;1.633;1097;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;1;;Gouden Carolus;A;5;A;;
1643;1659436157779.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436157779.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436157779.jpg;51.0289409 4.4838712 56.3 1.633;510.289.409;44.838.712;510.289.409;44.838.712;56.3;1.633;1097;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Duvel ;A;5;A;;
1644;1659436157779.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436157779.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436157779.jpg;51.0289409 4.4838712 56.3 1.633;510.289.409;44.838.712;510.289.409;44.838.712;56.3;1.633;1097;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;3;;Guinness;A;5;A;;
1645;1659436171305.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436171305.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436171305.jpg;51.028962 4.483922 53.9 1.45;51.028.962;4.483.922;51.028.962;4.483.922;53.9;1.45;1098;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;7;N;;;;;1;;Esta latina bar;NA;;NA;;
1646;1659436171305.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436171305.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436171305.jpg;51.028962 4.483922 53.9 1.45;51.028.962;4.483.922;51.028.962;4.483.922;53.9;1.45;1098;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Guinness;A;5;A;;
1647;1659436171305.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436171305.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436171305.jpg;51.028962 4.483922 53.9 1.45;51.028.962;4.483.922;51.028.962;4.483.922;53.9;1.45;1098;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;3;;Duvel;A;5;A;;
1648;1659436171305.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436171305.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436171305.jpg;51.028962 4.483922 53.9 1.45;51.028.962;4.483.922;51.028.962;4.483.922;53.9;1.45;1098;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;4;;Vedett;A;5;A;;
1649;1659436171305.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436171305.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436171305.jpg;51.028962 4.483922 53.9 1.45;51.028.962;4.483.922;51.028.962;4.483.922;53.9;1.45;1098;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;9;N;;;;;5;;Gouden Carolus;A;5;A;;
1650;1659436204720.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436204720.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436204720.jpg;51.0288997 4.4841446 49.3 2.16;510.288.997;44.841.446;510.288.997;44.841.446;49.3;2.16;1099;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;4;N;;;;;;;Traagste brood;11;3;4;A;
1651;1659436220430.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436220430.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436220430.jpg;51.0288713 4.4841436 47.699999999999996 1.6;510.288.713;44.841.436;510.288.713;44.841.436;47.699.999.999.999.900;1.6;1100;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;6;N;;;;;;;Mykebab ;9;4;13;E;
1652;1659436246927.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436246927.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436246927.jpg;51.0288583 4.4843293 51.199999999999996 1.95;510.288.583;44.843.293;510.288.583;44.843.293;51.199.999.999.999.900;1.95;1101;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;1;Coca-cola light;Coca-cola;4d;4;1;C;
1653;1659436246927.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436246927.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436246927.jpg;51.0288583 4.4843293 51.199999999999996 1.95;510.288.583;44.843.293;510.288.583;44.843.293;51.199.999.999.999.900;1.95;1101;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;2;Water  ;Drankenautomaat;4e;1;1;F;
1654;1659436246927.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436246927.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436246927.jpg;51.0288583 4.4843293 51.199999999999996 1.95;510.288.583;44.843.293;510.288.583;44.843.293;51.199.999.999.999.900;1.95;1101;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;3;Frisdrank;Drankenautomaat;4d;4;1;E;
1655;1659436257670.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436257670.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436257670.jpg;51.0288783 4.4843935 53.0 1.816;510.288.783;44.843.935;510.288.783;44.843.935;53;1.816;1102;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;1;Coca-cola zero;Coca-cola;4d;4;1;C;
1656;1659436257670.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436257670.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436257670.jpg;51.0288783 4.4843935 53.0 1.816;510.288.783;44.843.935;510.288.783;44.843.935;53;1.816;1102;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;2;Water  ;Drankenautomaat;4e;1;1;F;
1657;1659436257670.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436257670.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436257670.jpg;51.0288783 4.4843935 53.0 1.816;510.288.783;44.843.935;510.288.783;44.843.935;53;1.816;1102;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;N;;;;;3;Frisdrank;Drankenautomaat;4d;4;1;E;
1658;1659436274646.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436274646.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436274646.jpg;51.0288546 4.4844157 53.3 2.72;510.288.546;44.844.157;510.288.546;44.844.157;53.3;2.72;1103;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;6;N;;;;;;Doner, schotel, kofte;;14;4;12;D;
1659;1659436500640.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659436500640.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659436500640.jpg;51.0304707 4.4856411 47.9 2.25;510.304.707;44.856.411;510.304.707;44.856.411;47.9;2.25;1104;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;2;N;;;;;;Gastronomie;Mechelen;NA;;NA;;
1660;1659437030937.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659437030937.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659437030937.jpg;51.031487 4.4830565 59.3 2.3;51.031.487;44.830.565;51.031.487;44.830.565;59.3;2.3;1105;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;Y;8a;Meer crunch dan een bezoekje aan de chiro;;;;MAX dubbel crunch;Lays;3a;4;13;E;
1661;1659437053715.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1659437053715.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2F0978f599-6281-455b-930e-6c61678efdff%2F1659437053715.jpg;51.0314889 4.482883 77.9 2.3;510.314.889;4.482.883;510.314.889;4.482.883;77.9;2.3;1106;Voedingsadvertenties;53;173439621;0978f599-6281-455b-930e-6c61678efdff;2022-08-02T13:40:45;;;submitted_via_web;vincentsmets;;1;Y;5;Meer spicy dan een eiland vol singles;;;;MAX strong hot chicken wings;Lays;3a;4;13;E;
