Volgorde;group_straatadvertenties/Foto_advertentie;Link Sciensano Server;group_straatadvertenties/Foto_advertentie_URL;Record_your_current_location;lat;lon;group_straatadvertenties/_Record_your_current_location_latitude;group_straatadvertenties/_Record_your_current_location_longitude;group_straatadvertenties/_Record_your_current_location_altitude;group_straatadvertenties/_Record_your_current_location_precision;_index;_parent_table_name;_parent_index;_submission__id;_submission__uuid;_submission__submission_time;_submission__validation_status;_submission__notes;_submission__status;_submission__submitted_by;_submission__tags;Type advertentie;public transport (Y/N);Promo char;Desc promo char;Premium offers;Desc premium offer;Nr food;Naam voedingsmiddel;Merk voedingsmiddel;Category (WHO);UPF;Gezond leven voedingscategorie;Gezond leven voorkeursindeling;Opmerkingen
11;1656941912257.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941912257.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;509.308.779;44.226.866;65.6;2.28;9;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;1;Vlees;Boucherie;13;1;12;D;
12;1656941912257.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941912257.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;509.308.779;44.226.866;65.6;2.28;9;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;2;Groenten   ;Boucherie;15;1;2;A;
13;1656941912257.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941912257.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941912257.jpg;50.9308779 4.4226866 65.6 2.28;509.308.779;44.226.866;509.308.779;44.226.866;65.6;2.28;9;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;;;;;3;Fruit;Boucherie;15;1;3;A;
14;1656941884919.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941884919.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941884919.jpg;50.9308717 4.4226568 68.0 2.533;509.308.717;44.226.568;509.308.717;44.226.568;68;2.533;10;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;4;N;11;Schaap;;;;Vlees;Boucherie;13;1;12;D;
15;1656941943598.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941943598.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941943598.jpg;50.9309689 4.4226841 73.19999999999999 1.783;509.309.689;44.226.841;509.309.689;44.226.841;7.319.999.999.999.990;1.783;11;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;1;N;;;1, 2;Stem op favoriete terras via app, win 100.000 euro;;;Lipton;4d;4;1;E;
16;1656941971008.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941971008.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;1;Jupiler stier;;;1;;Jupiler;A;5;A;;
17;1656941971008.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941971008.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Stella artois;A;5;A;;
18;1656941971008.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656941971008.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656941971008.jpg;50.9309752 4.4227737 72.19999999999999 1.62;509.309.752;44.227.737;509.309.752;44.227.737;7.219.999.999.999.990;1.62;12;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;3;;Leffe;A;5;A;;
19;1656942003531.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942003531.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942003531.jpg;50.9309883 4.4229331 73.69999999999999 1.516;509.309.883;44.229.331;509.309.883;44.229.331;7.369.999.999.999.990;1.516;13;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;1;;Jupiler;A;5;A;;
20;1656942003531.jpg;\\sciensano.be\fs\1140_DATA\FCS\FCS\Projects\2020\Vla voedselomgeving\veldwerk\Ingevulde vragenlijsten\5.Voedingsadvertenties\2022_09_12\all_voedingsadvertenties_2022_09_12\1656942003531.jpg;https://kc.kobotoolbox.org/media/original?media_file=vincentsmets%2Fattachments%2F76984f0d65c94ad485e3350186899cc2%2Fe10e3bb0-757e-49eb-903d-997fcad0ac4a%2F1656942003531.jpg;50.9309883 4.4229331 73.69999999999999 1.516;509.309.883;44.229.331;509.309.883;44.229.331;7.369.999.999.999.990;1.516;13;Voedingsadvertenties;1;167636204;e10e3bb0-757e-49eb-903d-997fcad0ac4a;2022-07-04T14:10:53;;;submitted_via_web;vincentsmets;;9;N;;;;;2;;Maes;A;5;A;;
